x,y
-136.468570248977,-32.1789604944564
-136.453055565184,-32.0710214102515
-136.435776163845,-31.9508197778987
-136.417200491839,-31.8216043877867
-136.40009197267,-31.7025813395187
-136.379342864584,-31.5582303440285
-136.362827509897,-31.4433468835406
-136.344800317894,-31.3179442130607
-136.324113579414,-31.1740346528144
-136.302162494239,-31.0213487929571
-136.277748502959,-30.8515100144251
-136.250076281868,-30.6590158929315
-136.234964462733,-30.5538962252353
-136.219026375883,-30.4430271075343
-136.202249287845,-30.3263237588927
-136.184629668281,-30.2037593392635
-136.166165785826,-30.0753227367829
-136.146857551803,-29.9410130710169
-136.126705207239,-29.8008321667928
-136.105708987644,-29.654781751228
-136.083869067792,-29.5028631103046
-136.061185571803,-29.3450771347812
-136.037658606636,-29.1814247256428
-136.013288331672,-29.0119069729207
-135.988074904438,-28.8365251168587
-135.962018510187,-28.6552804583557
-135.935119317089,-28.4681743713134
-135.907433498739,-28.2755993965596
-135.879192713102,-28.0791656586117
-135.850405946569,-27.8789341944387
-135.821073927431,-27.6749108738311
-135.791197029436,-27.4670981395649
-135.760775326783,-27.2554965425912
-135.729808908924,-27.0401066444505
-135.698297968425,-26.820930000573
-135.666242663162,-26.5979675407231
-135.633643095249,-26.3712202330347
-135.600499405782,-26.1406890133552
-135.566811740302,-25.9063747892251
-135.532580206709,-25.6682785712074
-135.497804978448,-25.4264014202249
-135.462486294864,-25.1807451473445
-135.426624120127,-24.9313094057976
-135.390218749063,-24.6780964425271
-135.353270412947,-24.4211077822889
-135.315779292141,-24.1603448477783
-135.277745601116,-23.8958090892223
-135.239169545007,-23.6275019007688
-135.20005131653,-23.3554247911457
-135.160390932976,-23.079577911722
-135.120186935238,-22.7999510124932
-135.079435440812,-22.5165172937089
-135.038131978593,-22.2292455772695
-134.996271580422,-21.9381013830961
-134.953847735021,-21.6430395404345
-134.910854822505,-21.3440209636256
-134.867286410108,-21.0410010605677
-134.823135326858,-20.7339299686916
-134.778393478014,-20.4227517878622
-134.733053171177,-20.1074123943826
-134.68710491663,-19.7878464007304
-134.640538816955,-19.4639848604035
-134.593345138313,-19.1357603768999
-134.545495593733,-18.8029755733189
-134.496818358985,-18.464433139936
-134.447152921914,-18.1190196008476
-134.396417463197,-17.7661675099722
-134.344552876914,-17.4054665831941
-134.291510743,-17.036580199875
-134.237239581796,-16.6591511496213
-134.170432387794,-16.194547390516
-134.113303697181,-15.7972584650005
-134.0547981843,-15.3904015208051
-133.994860183694,-14.973590084879
-133.933431763752,-14.546422333772
-133.870452967968,-14.1084823613538
-133.805837972696,-13.6591732004308
-133.739391236132,-13.1971324983024
-133.670923560667,-12.7210488066069
-133.600281610464,-12.2298604916524
-133.527327366532,-11.72261116348
-133.451919003973,-11.1983183942403
-133.373917710653,-10.6560230729672
-133.29320236271,-10.0948892827928
-133.209648981006,-9.51405916646925
-133.123173626567,-8.91296845962959
